出发城市	到达城市	经济联系强度	人口联系强度	土地利用联系强度	经济结构相似性	人口结构相似性	土地利用结构相似性
上海市	南京市	0	0	0	0	0	0
上海市	无锡市	0	0	0	0	0	0
上海市	常州市	0	0	0	0	0	0
上海市	苏州市	0	0	0	0	0	0
上海市	南通市	0	0	0	0	0	0
上海市	盐城市	0	0	0	0	0	0
上海市	扬州市	0	0	0	0	0	0
上海市	镇江市	0	0	0	0	0	0
上海市	泰州市	0	0	0	0	0	0
上海市	杭州市	0	0	0	0	0	0
上海市	宁波市	0	0	0	0	0	0
上海市	嘉兴市	0	0	0	0	0	0
上海市	湖州市	0	0	0	0	0	0
上海市	绍兴市	0	0	0	0	0	0
上海市	金华市	0	0	0	0	0	0
上海市	舟山市	0	0	0	0	0	0
上海市	台州市	0	0	0	0	0	0
上海市	合肥市	0	0	0	0	0	0
上海市	芜湖市	0	0	0	0	0	0
上海市	马鞍山市	0	0	0	0	0	0
上海市	铜陵市	0	0	0	0	0	0
上海市	安庆市	0	0	0	0	0	0
上海市	滁州市	0	0	0	0	0	0
上海市	池州市	0	0	0	0	0	0
上海市	宣城市	0	0	0	0	0	0
南京市	上海市	0	0	0	0	0	0
南京市	无锡市	0	0	0	0	0	0
南京市	常州市	0	0	0	0	0	0
南京市	苏州市	0	0	0	0	0	0
南京市	南通市	0	0	0	0	0	0
南京市	盐城市	0	0	0	0	0	0
南京市	扬州市	0	0	0	0	0	0
南京市	镇江市	0	0	0	0	0	0
南京市	泰州市	0	0	0	0	0	0
南京市	杭州市	0	0	0	0	0	0
南京市	宁波市	0	0	0	0	0	0
南京市	嘉兴市	0	0	0	0	0	0
南京市	湖州市	0	0	0	0	0	0
南京市	绍兴市	0	0	0	0	0	0
南京市	金华市	0	0	0	0	0	0
南京市	舟山市	0	0	0	0	0	0
南京市	台州市	0	0	0	0	0	0
南京市	合肥市	0	0	0	0	0	0
南京市	芜湖市	0	0	0	0	0	0
南京市	马鞍山市	0	0	0	0	0	0
南京市	铜陵市	0	0	0	0	0	0
