城市名称	餐饮美食	公司企业	购物消费	交通设施	金融机构	酒店住宿	科教文化	旅游景点	汽车相关	商务住宅	生活服务	休闲娱乐	医疗保健	运动健身	14岁以下占比	14-65岁占比	65岁以上占比	一产占比	二产占比	三产占比
上海市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
南京市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
无锡市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
常州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
苏州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
南通市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
盐城市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
扬州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
镇江市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
泰州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
杭州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
宁波市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
嘉兴市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
湖州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
绍兴市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
金华市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
舟山市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
台州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
合肥市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
芜湖市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
马鞍山市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
铜陵市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
安庆市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
滁州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
池州市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
宣城市	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
